"subject","mean_accuracy","repetitions"
"sub-25",80,"7/2"
"sub-25",20,"8/1"
"sub-26",80,"1/8"
"sub-26",100,"2/7"
"sub-26",100,"3/6"
"sub-26",80,"4/5"
"sub-26",80,"5/4"
"sub-26",80,"6/3"
"sub-26",80,"7/2"
"sub-26",60,"8/1"
"sub-27",60,"1/8"
"sub-27",40,"2/7"
"sub-27",80,"3/6"
"sub-27",100,"4/5"
"sub-27",80,"5/4"
"sub-27",100,"6/3"
"sub-27",100,"7/2"
"sub-27",100,"8/1"
"sub-28",100,"1/8"
"sub-28",60,"2/7"
"sub-28",100,"3/6"
"sub-28",60,"4/5"
"sub-28",60,"5/4"
"sub-28",80,"6/3"
"sub-28",0,"7/2"
"sub-28",100,"8/1"
"sub-29",60,"1/8"
"sub-29",100,"2/7"
"sub-29",80,"3/6"
"sub-29",100,"4/5"
"sub-29",60,"5/4"
"sub-29",100,"6/3"
"sub-29",20,"7/2"
"sub-29",0,"8/1"
"sub-30",100,"1/8"
"sub-30",100,"2/7"
"sub-30",100,"3/6"
"sub-30",100,"4/5"
"sub-30",60,"5/4"
"sub-30",40,"6/3"
"sub-30",40,"7/2"
"sub-30",80,"8/1"
"sub-31",40,"1/8"
"sub-31",80,"2/7"
"sub-31",20,"3/6"
"sub-31",60,"4/5"
"sub-31",40,"5/4"
"sub-31",60,"6/3"
"sub-31",0,"7/2"
"sub-31",40,"8/1"
"sub-32",100,"1/8"
"sub-32",100,"2/7"
"sub-32",100,"3/6"
"sub-32",80,"4/5"
"sub-32",100,"5/4"
"sub-32",60,"6/3"
"sub-32",80,"7/2"
"sub-32",60,"8/1"
"sub-33",40,"1/8"
"sub-33",60,"2/7"
"sub-33",100,"3/6"
"sub-33",100,"4/5"
"sub-33",80,"5/4"
"sub-33",40,"6/3"
"sub-33",40,"7/2"
"sub-33",60,"8/1"
"sub-34",100,"1/8"
"sub-34",80,"2/7"
"sub-34",40,"3/6"
"sub-34",80,"4/5"
"sub-34",80,"5/4"
"sub-34",100,"6/3"
"sub-34",80,"7/2"
"sub-34",100,"8/1"
"sub-35",40,"1/8"
"sub-35",100,"2/7"
"sub-35",60,"3/6"
"sub-35",100,"4/5"
"sub-35",80,"5/4"
"sub-35",80,"6/3"
"sub-35",60,"7/2"
"sub-35",40,"8/1"
"sub-36",60,"1/8"
"sub-36",100,"2/7"
"sub-36",100,"3/6"
"sub-36",80,"4/5"
"sub-36",60,"5/4"
"sub-36",40,"6/3"
"sub-36",20,"7/2"
"sub-36",80,"8/1"
"sub-37",80,"1/8"
"sub-37",40,"2/7"
"sub-37",80,"3/6"
"sub-37",40,"4/5"
"sub-37",20,"5/4"
"sub-37",20,"6/3"
"sub-37",20,"7/2"
"sub-37",40,"8/1"
"sub-38",100,"1/8"
"sub-38",80,"2/7"
"sub-38",80,"3/6"
"sub-38",100,"4/5"
"sub-38",100,"5/4"
"sub-38",60,"6/3"
"sub-38",40,"7/2"
"sub-38",60,"8/1"
"sub-39",60,"1/8"
"sub-39",80,"2/7"
"sub-39",100,"3/6"
"sub-39",100,"4/5"
"sub-39",100,"5/4"
"sub-39",60,"6/3"
"sub-39",80,"7/2"
"sub-39",60,"8/1"
"sub-40",60,"1/8"
"sub-40",40,"2/7"
"sub-40",60,"3/6"
"sub-40",40,"4/5"
"sub-40",80,"5/4"
"sub-40",60,"6/3"
"sub-40",20,"7/2"
"sub-40",0,"8/1"
