"period","tITI","seq_tr","tvalue","pvalue","df","mean_position","sd_position","sem_upper","sem_lower","pvalue_adjust","pvalue_rounded","pvalue_adjust_rounded","significance"
"backward","0.032",5,3.27636437537511,0.00237703267588968,35,3.2037037037037,0.373042214537659,3.26587740612665,3.14153000128076,0.00545319260939398,"p = .002","p = .005","***"
"backward","0.032",6,4.76607516535646,3.24553807782124e-05,35,3.27777777777778,0.349693743561011,3.33606006837128,3.21949548718428,9.73661423346373e-05,"p < .001","p < .001","***"
"backward","0.032",7,2.39528275299972,0.0220917952436336,35,3.15740740740741,0.394293510134315,3.22312299242979,3.09169182238502,0.0430790007250855,"p = .02","p = .04","***"
"backward","0.064",5,3.13084209543251,0.00350921761561232,35,3.21111111111111,0.404576988572682,3.27854060920656,3.14368161301566,0.00720313089520424,"p = .004","p = .007","***"
"backward","0.064",6,3.17968781714324,0.00308163424432291,35,3.23518518518519,0.443789199525541,3.30915005177278,3.1612203185976,0.00667687419603297,"p = .003","p = .007","***"
"backward","0.064",7,2.03178182500291,0.0498214884976046,35,3.13888888888889,0.410149024407254,3.20724705962343,3.07053071815435,0.0809599188086074,"p = .05","p = .08",""
"backward","0.128",5,1.95751666149003,0.0582983712084246,35,3.14259259259259,0.437061697806608,3.21543620889369,3.06974897629149,0.0874475568126369,"p = .06","p = .09",""
"backward","0.128",6,4.56035442015026,6.00695522924007e-05,35,3.29074074074074,0.382523875060344,3.35449471991746,3.22698676156402,0.000167336609957402,"p < .001","p < .001","***"
"backward","0.128",7,2.109671733511,0.0421088976963708,35,3.14444444444444,0.410806407888077,3.21291217909246,3.07597670979643,0.0714020439199331,"p = .04","p = .07",""
"backward","0.128",8,-0.695346812154874,0.491429220128936,35,2.96111111111111,0.335563964995013,3.01703843861028,2.90518378361194,0.532381655139681,"p = .49","p = .53",""
"backward","0.512",6,7.65824057134853,5.51548269236881e-09,35,3.45925925925926,0.359815747479233,3.5192285505058,3.39928996801272,2.68879781252979e-08,"p < .001","p < .001","***"
"backward","0.512",7,5.12207662929634,1.10908621149268e-05,35,3.39814814814815,0.466390696934393,3.47587993097055,3.32041636532575,3.60453018735121e-05,"p < .001","p < .001","***"
"backward","0.512",8,2.33219612734013,0.0255691954525696,35,3.15,0.385902364492154,3.21431706074869,3.08568293925131,0.0474856486976293,"p = .03","p = .05","***"
"backward","0.512",9,0.602241065121046,0.550895691360781,35,3.04444444444444,0.442790573593761,3.11824287337674,2.97064601551215,0.565392946396592,"p = .55","p = .57",""
"backward","2.048",8,3.59195625537791,0.000997738724021257,35,3.21851851851852,0.365013106478705,3.27935403626497,3.15768300077207,0.00259412068245527,"p < .001","p = .003","***"
"backward","2.048",9,8.72956400479665,2.61594251573045e-10,35,3.51851851851852,0.356387914608524,3.57791650428661,3.45912053275043,1.70036263522479e-09,"p < .001","p < .001","***"
"backward","2.048",10,13.1683597384078,4.02402740685185e-15,35,3.89259259259259,0.406698758383336,3.96037571898981,3.82480946619537,5.23123562890741e-14,"p < .001","p < .001","***"
"backward","2.048",11,15.8393483373595,1.55375472258064e-17,35,4,0.378803462882883,4.06313391048048,3.93686608951952,3.02982170903225e-16,"p < .001","p < .001","***"
