"stim","seq_tr","mean_probability","sem_upper","sem_lower"
"cat",1,9.87075836816736,10.4202549719229,9.32126176441185
"cat",2,10.3670255402384,10.9012373954949,9.83281368498198
"cat",3,34.98266132404,36.5530896983884,33.4122329496916
"cat",4,54.9261217509825,56.8764009853327,52.9758425166324
"cat",5,42.4986748683582,43.9528085805009,41.0445411562155
"cat",6,20.351787211396,21.711459777822,18.9921146449699
"cat",7,9.95800405128873,10.8039692679771,9.11203883460033
"chair",1,7.85770236088736,8.43311603729254,7.28228868448219
"chair",2,11.4488194604222,11.9580861343768,10.9395527864675
"chair",3,34.2614463363727,35.8858670506648,32.6370256220806
"chair",4,50.844386902813,52.9697815954385,48.7189922101875
"chair",5,37.0847940427773,38.7867846550324,35.3828034305222
"chair",6,19.5417046618968,20.6713099277769,18.4120993960168
"chair",7,10.2486618122722,11.0179023871466,9.47942123739778
"face",1,6.15325910917323,6.56439844594838,5.74211977239807
"face",2,9.68810042441522,10.2727985017915,9.10340234703896
"face",3,34.6723210150297,36.234429755543,33.1102122745165
"face",4,55.0087624757261,56.8599410304704,53.1575839209818
"face",5,41.5985071534219,43.2945005591921,39.9025137476517
"face",6,20.6845125725374,22.0336720098202,19.3353531352546
"face",7,9.55736724170368,10.3663766431672,8.74835784024014
"house",1,6.53287561792736,6.93444193185357,6.13130930400115
"house",2,10.8363686171143,11.4931218910215,10.1796153432072
"house",3,43.9349703545905,45.729888316672,42.140052392509
"house",4,65.1090256232614,66.8268818821611,63.3911693643617
"house",5,46.4083782805769,48.282734318228,44.5340222429258
"house",6,20.1199766210656,21.4179452860777,18.8220079560535
"house",7,8.18581502363574,8.8583533559026,7.51327669136888
"shoe",1,6.74615219379199,7.26136585054644,6.23093853703755
"shoe",2,10.8490548833398,11.5380159662289,10.1600938004507
"shoe",3,37.4509028829387,39.428698806472,35.4731069594054
"shoe",4,52.5408429578677,54.6387397488003,50.4429461669352
"shoe",5,38.8260010924008,40.4620520628805,37.189950121921
"shoe",6,20.7978551480238,21.9524433292952,19.6432669667525
"shoe",7,11.8709455617465,12.6927601647506,11.0491309587423
