"speed","time","mean_difference","sem_upper","sem_lower"
0.512,2.8,0.247663803088112,0.258495871510577,0.236831734665647
0.512,2.9,0.236308624932737,0.24649275029898,0.226124499566494
0.512,3,0.223053818068575,0.232599207101239,0.213508429035911
0.512,3.1,0.208012219190551,0.216969881188786,0.199054557192316
0.512,3.2,0.191311388831701,0.199781184763752,0.182841592899649
0.512,3.3,0.173092505330162,0.181226144103978,0.164958866556347
0.512,3.4,0.153509143970102,0.161504199970822,0.145514087969381
0.512,3.5,0.132725952073323,0.140807598804165,0.124644305342481
0.512,3.6,0.110917231715008,0.119310929774859,0.102523533655158
0.512,3.7,0.08826544252891,0.0971704322924164,0.0793604527654036
0.512,3.8,0.0649596377472979,0.0745321708507637,0.0553871046438321
0.512,3.9,0.0411938471831713,0.0515419267127809,0.0308457676535617
0.512,4,0.0171654213017708,0.0283513253080073,0.0059795172955343
0.512,4.1,-0.00692664915846929,0.00511948621474875,-0.0189727845316873
0.512,4.2,-0.0308834233712999,-0.0179881311941694,-0.0437787155484305
0.512,4.3,-0.0545076957165175,-0.0408020461890549,-0.06821334524398
0.512,4.4,-0.0776056615614902,-0.0631513158101711,-0.0920600073128093
0.512,4.5,-0.0999885491163355,-0.0848659550258132,-0.115111143206858
0.512,4.6,-0.121474203283123,-0.105779109176835,-0.137169297389412
0.512,4.7,-0.141888607878203,-0.125728973953087,-0.158048241803319
0.512,4.8,-0.16106733318541,-0.144560486186755,-0.177574180184064
0.512,4.9,-0.178856896490991,-0.162126808324501,-0.195586984657481
0.512,5,-0.195116024052115,-0.178290620567778,-0.211941427536452
0.512,5.1,-0.209716803852311,-0.192925224434453,-0.22650838327017
0.512,5.2,-0.222545719490714,-0.205915451737012,-0.239175987244417
0.512,5.3,-0.233504556628472,-0.217158363705964,-0.24985074955098
0.512,5.4,-0.242511174565056,-0.226563715916572,-0.25845863321354
0.512,5.5,-0.249500136729081,-0.234054156239546,-0.264946117218617
0.512,5.6,-0.254423195131388,-0.239565117951384,-0.269281272311392
0.512,5.7,-0.25724962513111,-0.243044376600056,-0.271454873662164
0.512,5.8,-0.257966408196358,-0.244451277132167,-0.271481539260549
0.512,5.9,-0.256578261687934,-0.243755748321744,-0.269400775054123
0.512,6,-0.253107516044951,-0.24093747197062,-0.265277560119282
0.512,6.1,-0.24759384109325,-0.235986021886825,-0.259201660299675
0.512,6.2,-0.240093824518948,-0.228903317367745,-0.251284331670152
0.512,6.3,-0.230680406838584,-0.21970974068842,-0.241651072988749
0.512,6.4,-0.219442178442583,-0.208453649523019,-0.230430707362146
0.512,6.5,-0.206482545479144,-0.195220669212995,-0.217744421745294
0.512,6.6,-0.191918772470668,-0.180137116144153,-0.203700428797184
0.512,6.7,-0.175880910604527,-0.163364876727277,-0.188396944481777
0.512,6.8,-0.158510621605361,-0.145090827979077,-0.171930415231645
0.512,6.9,-0.140800379698928,-0.126600571615168,-0.155000187782688
0.512,7,-0.125452422588255,-0.11130752500418,-0.139597320172329
0.512,7.1,-0.110756568398266,-0.0969147484839837,-0.124598388312548
0.512,7.2,-0.097979133544354,-0.0849391938502427,-0.111019073238465
0.512,7.3,-0.0857374917943862,-0.0736284063379562,-0.0978465772508162
0.512,7.4,-0.074232032456073,-0.0632161826031316,-0.0852478823090143
0.512,7.5,-0.0626984228502953,-0.05272112026299,-0.0726757254376006
0.512,7.6,-0.0514041479921895,-0.0423696852169336,-0.0604386107674454
0.512,7.7,-0.0404883628484932,-0.0322343989394396,-0.0487423267575467
0.512,7.8,-0.0320370772847461,-0.0246769240533845,-0.0393972305161077
0.512,7.9,-0.0245143712229636,-0.0179757038767296,-0.0310530385691977
0.512,8,-0.017679935784268,-0.01177927807189,-0.023580593496646
0.512,8.1,-0.0137898068705284,-0.00858538850820557,-0.0189942252328511
0.512,8.2,-0.0106959856577251,-0.00613999807235474,-0.0152519732430954
0.512,8.3,-0.00848897449153165,-0.0045551819182701,-0.0124227670647932
0.512,8.4,-0.00671069899813279,-0.00336824246610052,-0.010053155530165
0.512,8.5,-0.00538826366304118,-0.00265657667068907,-0.00811995065539328
0.512,8.6,-0.00403706637900696,-0.00191531977609128,-0.00615881298192265
0.512,8.7,-0.00266432911294216,-0.00112994178915982,-0.0041987164367245
0.512,8.8,-0.00145654461551788,-0.000440738956195879,-0.00247235027483989
0.512,8.9,-0.000736825957964465,-0.000222151067600074,-0.00125150084832886
0.512,9,-8.07626821646081e-05,0,-0.000161525364329216
0.512,9.1,0,0,0
0.512,9.2,0,0,0
0.512,9.3,0,0,0
0.512,9.4,0,0,0
0.512,9.5,0,0,0
0.512,9.6,0,0,0
0.512,9.7,0,0,0
0.512,9.8,0,0,0
0.512,9.9,0,0,0
0.512,10,0,0,0
0.512,10.1,0,0,0
0.512,10.2,0,0,0
0.512,10.3,0,0,0
0.512,10.4,0,0,0
0.512,10.5,0,0,0
0.512,10.6,0,0,0
0.512,10.7,0,0,0
0.512,10.8,0,0,0
0.512,10.9,0,0,0
0.512,11,0,0,0
0.512,11.1,0,0,0
0.512,11.2,0,0,0
0.512,11.3,0,0,0
0.512,11.4,0,0,0
0.512,11.5,0,0,0
0.512,11.6,0,0,0
0.512,11.7,0,0,0
0.512,11.8,0,0,0
0.512,11.9,0,0,0
0.512,12,0,0,0
2.048,0,0,0,0
2.048,0.1,0,0,0
2.048,0.2,0.000160489915556187,0.000320979831112374,0
2.048,0.3,0.00105021770019327,0.00179122955066085,0.000309205849725699
2.048,0.4,0.00290681989396944,0.00435912494374478,0.0014545148441941
2.048,0.5,0.00665491140572584,0.00903375848203833,0.00427606432941336
2.048,0.6,0.0155342547292549,0.0189937127879045,0.0120747966706054
2.048,0.7,0.0305373589752055,0.034827899682022,0.0262468182683889
2.048,0.8,0.0501456252072759,0.0547391308985617,0.04555211951599
2.048,0.9,0.0701185035023265,0.0750835312106472,0.0651534757940057
2.048,1,0.0903166479434797,0.0956569363359142,0.0849763595510452
