"tITI","period","seq_tr","mean_variable","sem_upper","sem_lower"
"0.032","backward",5,-0.00106224655863248,3.06231951466259e-05,-0.00215511631241159
"0.032","backward",6,-0.000391577137803269,0.000709554386627388,-0.00149270866223392
"0.032","backward",7,-0.000958224801944541,0.000108964631692369,-0.00202541423558145
"0.064","backward",5,-0.00315320000854783,-0.00204836013887887,-0.00425803987821679
"0.064","backward",6,-0.00274131849718177,-0.00198878024658813,-0.00349385674777541
"0.064","backward",7,-0.00130425322057774,-0.000245091533881478,-0.00236341490727399
"0.128","backward",5,-0.00230290029569459,-0.000863074629791909,-0.00374272596159728
"0.128","backward",6,-0.0012268103952317,-0.000555864260798324,-0.00189775652966507
"0.128","backward",7,-0.00195963836893436,-0.000862410761327767,-0.00305686597654096
"0.128","backward",8,0.00201849818114392,0.00293852155959828,0.00109847480268956
"0.512","backward",6,-0.00462772809223447,-0.00354905027116312,-0.00570640591330582
"0.512","backward",7,-0.00497231284848859,-0.00384237289885708,-0.0061022527981201
"0.512","backward",8,-0.00132276678740219,0.000383535991686579,-0.00302906956649095
"0.512","backward",9,0.000214103631814097,0.00110674661332052,-0.000678539349692328
"2.048","backward",8,-0.00272021872515211,-0.00195164062062726,-0.00348879682967697
"2.048","backward",9,-0.0056940587194715,-0.00501525426760085,-0.00637286317134215
"2.048","backward",10,-0.00980297558157454,-0.00854346082490923,-0.0110624903382399
"2.048","backward",11,-0.00676274468152846,-0.00531728459665239,-0.00820820476640453
"2.048","backward",12,-0.00379279112826481,-0.0024466459484694,-0.00513893630806022
"2.048","backward",13,-0.000185664824285289,0.000582725689463422,-0.000954055338034
"0.032","excluded",1,-0.000388224449265489,0.00101704705071789,-0.00179349594924887
"0.032","excluded",8,2.49747820937552e-05,0.00101244659386736,-0.000962497029679847
"0.032","excluded",9,0.000637142510114984,0.0013911206879705,-0.000116835667740535
"0.032","excluded",10,0.0013722632736426,0.00213924213048745,0.00060528441679775
"0.032","excluded",11,0.0012819813649356,0.00223837271523194,0.000325590014639256
"0.032","excluded",12,0.00164752128702046,0.00257468792276985,0.00072035465127107
"0.032","excluded",13,0.00179926842778402,0.00290827149630016,0.000690265359267878
"0.064","excluded",1,-9.11496505451785e-05,0.00102657235709126,-0.00120887165818161
"0.064","excluded",8,0.000622922947533519,0.00196084405110851,-0.00071499815604147
"0.064","excluded",9,0.00121846547276883,0.0024257038590311,1.12270865065653e-05
"0.064","excluded",10,0.00177241068151975,0.00272395397610365,0.000820867386935844
"0.064","excluded",11,0.00186917846563567,0.00280406515070926,0.000934291780562077
"0.064","excluded",12,0.000303181713920041,0.00110589524036701,-0.000499531812526931
"0.064","excluded",13,0.0005457577539801,0.00178315359445855,-0.000691638086498352
"0.128","excluded",1,0.000446877545102936,0.00168929022003049,-0.000795535129824619
"0.128","excluded",9,0.000128028894099565,0.00108931858595101,-0.000833260797751879
"0.128","excluded",10,-0.00108323499540821,-0.000269602907514817,-0.0018968670833016
"0.128","excluded",11,-0.000302433760785115,0.000493818701336557,-0.00109868622290679
"0.128","excluded",12,-6.88070641050001e-05,0.000893378143521209,-0.00103099227173121
"0.128","excluded",13,0.00134560413928115,0.00246984333545335,0.000221364943108947
"0.512","excluded",1,0.000311549465959389,0.00180785087714696,-0.00118475194522818
"0.512","excluded",10,0.00195466214732232,0.00273751766068511,0.00117180663395953
"0.512","excluded",11,0.000386044880734039,0.0012200034282644,-0.00044791366679632
"0.512","excluded",12,0.000613433931783958,0.00179840108052114,-0.000571533216953223
"0.512","excluded",13,-0.000203365201182072,0.000646582577125885,-0.00105331297949003
"2.048","excluded",1,0.00336707445405239,0.00457266813125698,0.0021614807768478
"0.032","forward",2,0.00155102621685804,0.002803249149726,0.00029880328399008
"0.032","forward",3,0.00175969456249553,0.00286471496804486,0.000654674156946197
"0.032","forward",4,0.00109741780887776,0.00247387021244709,-0.000279034594691573
"0.064","forward",2,0.00126870975611082,0.00241121790542879,0.000126201606792859
"0.064","forward",3,0.00258364035582702,0.00401700571845681,0.00115027499319724
"0.064","forward",4,-0.000518099212790515,0.000920806728194438,-0.00195700515377547
"0.128","forward",2,0.000813778575287167,0.00175931566539847,-0.000131758514824134
"0.128","forward",3,0.00307578253299547,0.00426274500139946,0.00188882006459149
"0.128","forward",4,-0.000510650266417444,0.00104603462103911,-0.00206733515387399
"0.512","forward",2,-0.00126118639995369,-0.000218612327036807,-0.00230376047287058
"0.512","forward",3,0.00609728693064693,0.00751740662851001,0.00467716723278385
"0.512","forward",4,0.00594066146581192,0.00720595271530466,0.00467537021631919
"0.512","forward",5,0.00049186835472822,0.00165724086014422,-0.000673504150687775
"2.048","forward",2,0.00298093025650139,0.00418247064203615,0.00177938987096664
"2.048","forward",3,0.00439518746058973,0.00555425718387967,0.00323611773729979
"2.048","forward",4,0.00674977105607366,0.00804886793627575,0.00545067417587158
"2.048","forward",5,0.0090461270521456,0.0102662360297669,0.00782601807452431
"2.048","forward",6,0.00542398885132616,0.00663072593082993,0.00421725177182238
"2.048","forward",7,0.00216697380748737,0.0029304449370298,0.00140350267794494
