"id","seq_tr","class","stim","mean_prob","current_stim"
"sub-01",3,"house","cat",20.0625346009884,0
"sub-01",4,"house","cat",19.4684327083993,0
"sub-01",5,"house","cat",21.1908710078039,0
"sub-01",6,"house","cat",22.4551914659896,0
"sub-01",7,"house","cat",26.2605737753921,0
"sub-01",1,"house","house",24.7202219425327,1
"sub-01",2,"house","house",16.8113952467606,1
"sub-01",3,"house","house",19.9711022790561,1
"sub-01",4,"house","house",28.1342447776131,1
"sub-01",5,"house","house",25.9881370420209,1
"sub-01",6,"house","house",30.7797202906371,1
"sub-01",7,"house","house",27.1882486084502,1
"sub-01",1,"house","chair",25.4208199869071,0
"sub-01",2,"house","chair",23.7249759707648,0
"sub-01",3,"house","chair",18.0453406845254,0
"sub-01",4,"house","chair",19.1490680648075,0
"sub-01",5,"house","chair",24.5828920092408,0
"sub-01",6,"house","chair",25.4302319404855,0
"sub-01",7,"house","chair",29.3506603671755,0
"sub-01",1,"house","shoe",21.9088581219966,0
"sub-01",2,"house","shoe",24.0450467291875,0
"sub-01",3,"house","shoe",26.4016151220973,0
"sub-01",4,"house","shoe",20.8446359253453,0
"sub-01",5,"house","shoe",20.1597180645887,0
"sub-01",6,"house","shoe",24.8178115994719,0
"sub-01",7,"house","shoe",24.5136552780898,0
"sub-01",1,"shoe","face",27.1805746697074,0
"sub-01",2,"shoe","face",21.3441943639387,0
"sub-01",3,"shoe","face",29.6531743695078,0
"sub-01",4,"shoe","face",26.8367381534207,0
"sub-01",5,"shoe","face",31.7073683227958,0
"sub-01",6,"shoe","face",24.4278921826285,0
"sub-01",7,"shoe","face",29.2882199227632,0
"sub-01",1,"shoe","cat",24.3628330345361,0
"sub-01",2,"shoe","cat",27.3695655649018,0
"sub-01",3,"shoe","cat",24.2194120665651,0
"sub-01",4,"shoe","cat",28.1247712021947,0
"sub-01",5,"shoe","cat",25.7688816872277,0
"sub-01",6,"shoe","cat",18.3646237376495,0
"sub-01",7,"shoe","cat",26.2734233079601,0
"sub-01",1,"shoe","house",27.5284015732902,0
"sub-01",2,"shoe","house",25.3846995732622,0
"sub-01",3,"shoe","house",22.8638376207456,0
"sub-01",4,"shoe","house",29.7288918345342,0
"sub-01",5,"shoe","house",26.0623228272942,0
"sub-01",6,"shoe","house",22.623622563655,0
"sub-01",7,"shoe","house",20.6929526557938,0
"sub-01",1,"shoe","chair",29.6373664440326,0
"sub-01",2,"shoe","chair",21.8383344508669,0
"sub-01",3,"shoe","chair",17.7886130446392,0
"sub-01",4,"shoe","chair",29.0286168614638,0
"sub-01",5,"shoe","chair",20.7320184874925,0
"sub-01",6,"shoe","chair",28.2896664221272,0
"sub-01",7,"shoe","chair",24.021195418383,0
"sub-01",1,"shoe","shoe",30.8743990736001,1
"sub-01",2,"shoe","shoe",24.3387355657101,1
"sub-01",3,"shoe","shoe",17.115364826813,1
"sub-01",4,"shoe","shoe",20.1367435443634,1
"sub-01",5,"shoe","shoe",21.5255656083286,1
"sub-01",6,"shoe","shoe",21.5193584194988,1
"sub-01",7,"shoe","shoe",21.7153371153476,1
"sub-02",1,"cat","face",20.9930029227318,0
"sub-02",2,"cat","face",27.5765042941411,0
"sub-02",3,"cat","face",30.9969466177787,0
"sub-02",4,"cat","face",28.0882686160567,0
"sub-02",5,"cat","face",20.9129648378697,0
"sub-02",6,"cat","face",27.123765547916,0
"sub-02",7,"cat","face",23.3558857067786,0
"sub-02",1,"cat","chair",31.937185973532,0
"sub-02",2,"cat","chair",22.8339540289003,0
"sub-02",3,"cat","chair",23.0354931923859,0
"sub-02",4,"cat","chair",22.1581898585403,0
"sub-02",5,"cat","chair",32.0457445639937,0
"sub-02",6,"cat","chair",24.7570273834632,0
"sub-02",7,"cat","chair",21.1921239631779,0
"sub-02",1,"cat","house",29.877028779959,0
"sub-02",2,"cat","house",22.0434067624756,0
"sub-02",3,"cat","house",28.7818773276587,0
"sub-02",4,"cat","house",22.2187018030902,0
"sub-02",5,"cat","house",22.5878328230306,0
"sub-02",6,"cat","house",25.3441585312419,0
"sub-02",7,"cat","house",30.1852880931761,0
"sub-02",1,"cat","cat",18.0619285108573,1
"sub-02",2,"cat","cat",23.3270355075981,1
"sub-02",3,"cat","cat",20.2475886187735,1
"sub-02",4,"cat","cat",21.8747505118182,1
"sub-02",5,"cat","cat",25.3799324763569,1
"sub-02",6,"cat","cat",26.6597509290408,1
"sub-02",7,"cat","cat",21.3181788709159,1
"sub-02",1,"cat","shoe",26.3920106878515,0
"sub-02",2,"cat","shoe",23.4954818121655,0
"sub-02",3,"cat","shoe",21.5199544826129,0
"sub-02",4,"cat","shoe",23.9998965558237,0
"sub-02",5,"cat","shoe",28.3163557368107,0
"sub-02",6,"cat","shoe",24.5091973223536,0
"sub-02",7,"cat","shoe",25.4426373223585,0
"sub-02",1,"chair","face",21.0523872909187,0
"sub-02",2,"chair","face",22.7457540435312,0
"sub-02",3,"chair","face",27.3689077774799,0
"sub-02",4,"chair","face",25.8034450109343,0
"sub-02",5,"chair","face",25.3170423849061,0
"sub-02",6,"chair","face",27.1373258181491,0
"sub-02",7,"chair","face",27.19545535063,0
"sub-02",1,"chair","chair",23.9053296289055,1
"sub-02",2,"chair","chair",20.5867301895905,1
"sub-02",3,"chair","chair",28.4292015565665,1
"sub-02",4,"chair","chair",27.2595128998556,1
"sub-02",5,"chair","chair",24.7794456103864,1
"sub-02",6,"chair","chair",26.4154227413673,1
"sub-02",7,"chair","chair",29.509386545137,1
"sub-02",1,"chair","house",24.98260007874,0
"sub-02",2,"chair","house",23.8375931645188,0
"sub-02",3,"chair","house",26.3206051685538,0
"sub-02",4,"chair","house",24.5988041624284,0
"sub-02",5,"chair","house",28.6382985003855,0
"sub-02",6,"chair","house",23.5312501400097,0
"sub-02",7,"chair","house",22.4958486015925,0
"sub-02",1,"chair","cat",22.7673901750985,0
"sub-02",2,"chair","cat",19.9984124002566,0
"sub-02",3,"chair","cat",25.1800346807745,0
"sub-02",4,"chair","cat",25.74012951793,0
