"subject","trial_target_position","mean_accuracy","interference"
"sub-22",16,60,"16"
"sub-22",9,80,"bwd"
"sub-22",3,80,"3"
"sub-22",2,100,"fwd"
"sub-22",4,60,"4"
"sub-22",5,100,"5"
"sub-23",6,60,"6"
"sub-23",2,80,"fwd"
"sub-23",9,40,"bwd"
"sub-23",4,80,"4"
"sub-23",7,40,"7"
"sub-23",16,40,"16"
"sub-23",3,80,"3"
"sub-23",5,60,"5"
"sub-23",8,60,"8"
"sub-24",16,20,"16"
"sub-24",3,40,"3"
"sub-24",7,80,"7"
"sub-24",6,40,"6"
"sub-24",9,20,"bwd"
"sub-24",5,20,"5"
"sub-24",4,100,"4"
"sub-24",8,60,"8"
"sub-24",2,60,"fwd"
"sub-25",2,80,"fwd"
"sub-25",4,60,"4"
"sub-25",9,20,"bwd"
"sub-25",5,80,"5"
"sub-25",6,80,"6"
"sub-25",16,0,"16"
"sub-25",7,20,"7"
"sub-25",8,80,"8"
"sub-25",3,40,"3"
"sub-26",16,20,"16"
"sub-26",9,60,"bwd"
"sub-26",4,100,"4"
"sub-26",2,80,"fwd"
"sub-26",6,80,"6"
"sub-26",7,80,"7"
"sub-26",3,100,"3"
"sub-26",5,80,"5"
"sub-26",8,80,"8"
"sub-27",7,100,"7"
"sub-27",4,80,"4"
"sub-27",16,100,"16"
"sub-27",6,80,"6"
"sub-27",2,60,"fwd"
"sub-27",9,100,"bwd"
"sub-27",3,40,"3"
"sub-27",8,100,"8"
"sub-27",5,100,"5"
"sub-28",9,100,"bwd"
"sub-28",2,100,"fwd"
"sub-28",6,60,"6"
"sub-28",8,0,"8"
"sub-28",7,80,"7"
"sub-28",16,100,"16"
"sub-28",5,60,"5"
"sub-28",3,60,"3"
"sub-28",4,100,"4"
"sub-29",9,0,"bwd"
"sub-29",4,80,"4"
"sub-29",6,60,"6"
"sub-29",3,100,"3"
"sub-29",5,100,"5"
"sub-29",7,100,"7"
"sub-29",2,60,"fwd"
"sub-29",16,60,"16"
"sub-29",8,20,"8"
"sub-30",4,100,"4"
"sub-30",3,100,"3"
"sub-30",9,80,"bwd"
"sub-30",8,40,"8"
"sub-30",7,40,"7"
"sub-30",16,100,"16"
"sub-30",2,100,"fwd"
"sub-30",5,100,"5"
"sub-30",6,60,"6"
"sub-31",6,40,"6"
"sub-31",3,80,"3"
"sub-31",4,20,"4"
"sub-31",7,60,"7"
"sub-31",9,40,"bwd"
"sub-31",2,40,"fwd"
"sub-31",8,0,"8"
"sub-31",16,20,"16"
"sub-31",5,60,"5"
"sub-32",2,100,"fwd"
"sub-32",4,100,"4"
"sub-32",7,60,"7"
"sub-32",3,100,"3"
"sub-32",8,80,"8"
"sub-32",9,60,"bwd"
"sub-32",16,40,"16"
"sub-32",5,80,"5"
"sub-32",6,100,"6"
"sub-33",6,80,"6"
"sub-33",5,100,"5"
"sub-33",8,40,"8"
"sub-33",16,40,"16"
"sub-33",4,100,"4"
"sub-33",9,60,"bwd"
"sub-33",3,60,"3"
"sub-33",2,40,"fwd"
"sub-33",7,40,"7"
"sub-34",3,80,"3"
"sub-34",16,100,"16"
"sub-34",2,100,"fwd"
"sub-34",7,100,"7"
"sub-34",4,40,"4"
"sub-34",6,80,"6"
"sub-34",9,100,"bwd"
"sub-34",5,80,"5"
"sub-34",8,80,"8"
"sub-35",3,100,"3"
"sub-35",4,60,"4"
"sub-35",2,40,"fwd"
"sub-35",5,100,"5"
"sub-35",16,0,"16"
"sub-35",6,80,"6"
"sub-35",7,80,"7"
"sub-35",9,40,"bwd"
"sub-35",8,60,"8"
"sub-36",9,80,"bwd"
"sub-36",2,60,"fwd"
"sub-36",16,0,"16"
"sub-36",5,80,"5"
"sub-36",6,60,"6"
"sub-36",8,20,"8"
"sub-36",3,100,"3"
"sub-36",4,100,"4"
"sub-36",7,40,"7"
"sub-37",16,60,"16"
"sub-37",4,80,"4"
"sub-37",7,20,"7"
"sub-37",5,40,"5"
"sub-37",6,20,"6"
"sub-37",8,20,"8"
"sub-37",3,40,"3"
"sub-37",9,40,"bwd"
"sub-37",2,80,"fwd"
"sub-38",2,100,"fwd"
"sub-38",6,100,"6"
"sub-38",4,80,"4"
"sub-38",7,60,"7"
"sub-38",3,80,"3"
"sub-38",9,60,"bwd"
"sub-38",16,60,"16"
"sub-38",8,40,"8"
"sub-38",5,100,"5"
"sub-39",6,100,"6"
"sub-39",4,100,"4"
"sub-39",7,60,"7"
"sub-39",5,100,"5"
"sub-39",8,80,"8"
"sub-39",2,60,"fwd"
"sub-39",16,60,"16"
"sub-39",3,80,"3"
"sub-39",9,60,"bwd"
"sub-40",5,40,"5"
"sub-40",4,60,"4"
"sub-40",2,60,"fwd"
"sub-40",7,60,"7"
"sub-40",9,0,"bwd"
"sub-40",6,80,"6"
"sub-40",8,20,"8"
"sub-40",16,0,"16"
"sub-40",3,40,"3"
