"id","speed","snr","snr_char","insert","index","power","label"
"sub-06","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.0552335826762506,"0.07"
"sub-06","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-06","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-06","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-06","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-06","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0222739232396822,"0.17"
"sub-06","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.00556698817837065,"0.07"
"sub-06","32 ms",0.125,"1/8","6 inserts","power_index_fast",0.0209968833921201,"0.17"
"sub-06","32 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0028881778083902,"0.07"
"sub-06","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0469430175923902,"0.17"
"sub-06","32 ms",0.25,"1/4","2 inserts","power_index_slow",0.010784683034364,"0.07"
"sub-06","32 ms",0.25,"1/4","6 inserts","power_index_fast",0.0480548967400289,"0.17"
"sub-06","32 ms",0.25,"1/4","6 inserts","power_index_slow",-0.00967711421885777,"0.07"
"sub-06","32 ms",0.5,"1/2","2 inserts","power_index_fast",0.102247511417401,"0.17"
"sub-06","32 ms",0.5,"1/2","2 inserts","power_index_slow",0.0198515126411627,"0.07"
"sub-06","32 ms",0.5,"1/2","6 inserts","power_index_fast",0.118923025419463,"0.17"
"sub-06","32 ms",0.5,"1/2","6 inserts","power_index_slow",-0.0358392424282673,"0.07"
"sub-06","32 ms",0.8,"4/5","2 inserts","power_index_fast",0.175371355934957,"0.17"
"sub-06","32 ms",0.8,"4/5","2 inserts","power_index_slow",0.0277509107925479,"0.07"
"sub-06","32 ms",0.8,"4/5","6 inserts","power_index_fast",0.222299550473275,"0.17"
"sub-06","32 ms",0.8,"4/5","6 inserts","power_index_slow",-0.0864420311720636,"0.07"
"sub-07","2048 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-07","2048 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-07","2048 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-07","2048 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-07","2048 ms",0.125,"1/8","2 inserts","power_index_fast",-0.0214458706011208,"0.17"
"sub-07","2048 ms",0.125,"1/8","2 inserts","power_index_slow",-0.00115723972701021,"0.07"
"sub-07","2048 ms",0.125,"1/8","6 inserts","power_index_fast",-0.0855836739467421,"0.17"
"sub-07","2048 ms",0.125,"1/8","6 inserts","power_index_slow",0.035229612988479,"0.07"
"sub-07","2048 ms",0.25,"1/4","2 inserts","power_index_fast",-0.0407536131706759,"0.17"
"sub-07","2048 ms",0.25,"1/4","2 inserts","power_index_slow",-0.00234600290517228,"0.07"
"sub-07","2048 ms",0.25,"1/4","6 inserts","power_index_fast",-0.160420654975387,"0.17"
"sub-07","2048 ms",0.25,"1/4","6 inserts","power_index_slow",0.0640812738744667,"0.07"
"sub-07","2048 ms",0.5,"1/2","2 inserts","power_index_fast",-0.0723027936893513,"0.17"
"sub-07","2048 ms",0.5,"1/2","2 inserts","power_index_slow",-0.00477993982960817,"0.07"
"sub-07","2048 ms",0.5,"1/2","6 inserts","power_index_fast",-0.257385830032243,"0.17"
"sub-07","2048 ms",0.5,"1/2","6 inserts","power_index_slow",0.094140714333949,"0.07"
"sub-07","2048 ms",0.8,"4/5","2 inserts","power_index_fast",-0.0967680678234129,"0.17"
"sub-07","2048 ms",0.8,"4/5","2 inserts","power_index_slow",-0.0077059989474246,"0.07"
"sub-07","2048 ms",0.8,"4/5","6 inserts","power_index_fast",-0.260965215292118,"0.17"
"sub-07","2048 ms",0.8,"4/5","6 inserts","power_index_slow",0.076341054978857,"0.07"
"sub-07","32 ms",0,"0","2 inserts","power_index_fast",0,"0.17"
"sub-07","32 ms",0,"0","2 inserts","power_index_slow",0,"0.07"
"sub-07","32 ms",0,"0","6 inserts","power_index_fast",0,"0.17"
"sub-07","32 ms",0,"0","6 inserts","power_index_slow",0,"0.07"
"sub-07","32 ms",0.125,"1/8","2 inserts","power_index_fast",0.0122408009777917,"0.17"
"sub-07","32 ms",0.125,"1/8","2 inserts","power_index_slow",0.00313444281238613,"0.07"
"sub-07","32 ms",0.125,"1/8","6 inserts","power_index_fast",0.0252780692315912,"0.17"
"sub-07","32 ms",0.125,"1/8","6 inserts","power_index_slow",-0.0244412957544604,"0.07"
"sub-07","32 ms",0.25,"1/4","2 inserts","power_index_fast",0.0274440045858604,"0.17"
