"id","mean_accuracy"
"sub-01",19.8329853862213
"sub-02",18.8284518828452
"sub-03",21.294363256785
"sub-04",23.9583333333333
"sub-05",20.5020920502092
"sub-06",24.375
"sub-07",21.1740041928721
"sub-08",20.9205020920502
"sub-09",22.9166666666667
"sub-10",19.6652719665272
"sub-11",20.2505219206681
"sub-12",21.0416666666667
"sub-13",18.8284518828452
"sub-14",20.0845665961945
"sub-15",22.1294363256785
"sub-16",20.8768267223382
"sub-17",20.8768267223382
"sub-18",20.8768267223382
"sub-19",18.75
"sub-20",21.1297071129707
"sub-21",17.4004192872117
"sub-22",18.75
"sub-23",18.580375782881
"sub-25",22.1757322175732
"sub-26",21.25
"sub-27",21.0855949895616
"sub-28",20.9643605870021
"sub-29",19.0775681341719
"sub-30",21.0416666666667
"sub-32",20.0417536534447
"sub-33",19.2468619246862
"sub-34",21.0855949895616
"sub-35",19.4154488517745
"sub-36",21.0084033613445
"sub-38",18.5416666666667
"sub-39",20.8333333333333
