"occurence","position_label","mean_probability","sem_upper","sem_lower"
1,"1",13.4994088355515,14.5062387233122,12.4925789477908
1,"2",17.0673637617157,17.9708210805459,16.1639064428856
1,"none",7.7515806156904,8.24015132297423,7.26300990840657
2,"1",14.776291007037,15.8138357414595,13.7387462726145
2,"2",21.8815857059796,23.2808472555793,20.4823241563798
2,"none",7.47640825259581,7.93117814834818,7.02163835684344
3,"1",17.5345879170719,18.4950931378332,16.5740826963105
3,"2",22.7875347962141,24.0940656406072,21.481003951821
3,"none",8.00654012459768,8.54202257654858,7.47105767264678
4,"1",19.9108241591962,20.8724004969453,18.9492478214471
4,"2",22.3969765962192,23.836909400461,20.9570437919775
4,"none",7.63800657215897,8.18113597113012,7.09487717318782
5,"1",21.8507136077624,23.0211244851907,20.6803027303341
5,"2",26.2309545305787,27.5126096839631,24.9492993771943
5,"none",8.35662831363442,8.87168797312756,7.84156865414127
6,"1",21.4921957991804,22.7330813005595,20.2513102978013
6,"2",29.1308215765965,30.8622107382521,27.3994324149409
6,"none",8.45614726030398,8.95327557062023,7.95901894998773
7,"1",25.2489806142587,26.5519040451848,23.9460571833325
7,"2",30.3781477185513,31.8526537971747,28.9036416399278
7,"none",7.85337530896298,8.32082367422585,7.38592694370011
8,"1",26.8719750796779,28.2613875628846,25.4825625964712
8,"2",31.5513677364871,32.7076391492377,30.3950963237364
8,"none",7.6885157748442,8.1361217285053,7.2409098211831
