"subject","session","run_session","sdt_type","freq"
"sub-10",2,3,"miss",0
"sub-10",2,4,"false alarm",0
"sub-10",2,4,"miss",0
"sub-11",1,1,"false alarm",0
"sub-11",1,1,"miss",0
"sub-11",1,2,"false alarm",0
"sub-11",1,2,"miss",0
"sub-11",1,3,"false alarm",0
"sub-11",1,3,"miss",0
"sub-11",1,4,"false alarm",0
"sub-11",1,4,"miss",0
"sub-11",2,1,"false alarm",0
"sub-11",2,1,"miss",0
"sub-11",2,2,"false alarm",0
"sub-11",2,2,"miss",0
"sub-11",2,3,"false alarm",1.69491525423729
"sub-11",2,3,"miss",0
"sub-11",2,4,"false alarm",0
"sub-11",2,4,"miss",0
"sub-12",1,1,"false alarm",0
"sub-12",1,1,"miss",0
"sub-12",1,2,"false alarm",0
"sub-12",1,2,"miss",0
"sub-12",1,3,"false alarm",0
"sub-12",1,3,"miss",0
"sub-12",1,4,"false alarm",0
"sub-12",1,4,"miss",10
"sub-12",2,1,"false alarm",0
"sub-12",2,1,"miss",0
"sub-12",2,2,"false alarm",0
"sub-12",2,2,"miss",0
"sub-12",2,3,"false alarm",0
"sub-12",2,3,"miss",0
"sub-12",2,4,"false alarm",0
"sub-12",2,4,"miss",0
"sub-13",1,1,"false alarm",1.72413793103448
"sub-13",1,1,"miss",0
"sub-13",1,2,"false alarm",0
"sub-13",1,2,"miss",0
"sub-13",1,3,"false alarm",0
"sub-13",1,3,"miss",0
"sub-13",1,4,"false alarm",0
"sub-13",1,4,"miss",0
"sub-13",2,1,"false alarm",0
"sub-13",2,1,"miss",0
"sub-13",2,2,"false alarm",1.5625
"sub-13",2,2,"miss",0
"sub-13",2,3,"false alarm",0
"sub-13",2,3,"miss",0
"sub-13",2,4,"false alarm",0
"sub-13",2,4,"miss",0
"sub-14",1,1,"false alarm",0
"sub-14",1,1,"miss",0
"sub-14",1,2,"false alarm",0
"sub-14",1,2,"miss",0
"sub-14",1,3,"false alarm",3.57142857142857
"sub-14",1,3,"miss",0
"sub-14",1,4,"false alarm",1.58730158730159
"sub-14",1,4,"miss",0
"sub-14",2,1,"false alarm",0
"sub-14",2,1,"miss",0
"sub-14",2,2,"false alarm",5.26315789473684
"sub-14",2,2,"miss",0
"sub-14",2,3,"false alarm",0
"sub-14",2,3,"miss",0
"sub-14",2,4,"false alarm",1.5625
"sub-14",2,4,"miss",0
"sub-15",1,1,"false alarm",0
"sub-15",1,1,"miss",0
"sub-15",1,2,"false alarm",0
"sub-15",1,2,"miss",0
"sub-15",1,3,"false alarm",0
"sub-15",1,3,"miss",0
"sub-15",1,4,"false alarm",0
"sub-15",1,4,"miss",0
"sub-15",2,1,"false alarm",1.88679245283019
"sub-15",2,1,"miss",0
"sub-15",2,2,"false alarm",0
"sub-15",2,2,"miss",0
"sub-15",2,3,"false alarm",0
"sub-15",2,3,"miss",0
"sub-15",2,4,"false alarm",0
"sub-15",2,4,"miss",0
"sub-16",1,1,"false alarm",0
"sub-16",1,1,"miss",0
"sub-16",1,2,"false alarm",0
"sub-16",1,2,"miss",0
"sub-16",1,3,"false alarm",0
"sub-16",1,3,"miss",0
"sub-16",1,4,"false alarm",0
"sub-16",1,4,"miss",0
"sub-16",2,1,"false alarm",0
"sub-16",2,1,"miss",0
"sub-16",2,2,"false alarm",0
"sub-16",2,2,"miss",0
"sub-16",2,3,"false alarm",1.63934426229508
"sub-16",2,3,"miss",0
"sub-16",2,4,"false alarm",0
"sub-16",2,4,"miss",0
"sub-17",1,1,"false alarm",0
"sub-17",1,1,"miss",0
"sub-17",1,2,"false alarm",0
"sub-17",1,2,"miss",0
"sub-17",1,3,"false alarm",0
"sub-17",1,3,"miss",0
"sub-17",1,4,"false alarm",0
"sub-17",1,4,"miss",0
"sub-17",2,1,"false alarm",0
"sub-17",2,1,"miss",0
"sub-17",2,2,"false alarm",0
"sub-17",2,2,"miss",0
"sub-17",2,3,"false alarm",0
"sub-17",2,3,"miss",0
"sub-17",2,4,"false alarm",1.85185185185185
"sub-17",2,4,"miss",0
"sub-18",1,1,"false alarm",0
"sub-18",1,1,"miss",0
"sub-18",1,2,"false alarm",0
"sub-18",1,2,"miss",0
"sub-18",1,3,"false alarm",0
"sub-18",1,3,"miss",0
"sub-18",1,4,"false alarm",0
"sub-18",1,4,"miss",0
"sub-18",2,1,"false alarm",1.61290322580645
"sub-18",2,1,"miss",0
"sub-18",2,2,"false alarm",0
"sub-18",2,2,"miss",0
"sub-18",2,3,"false alarm",0
"sub-18",2,3,"miss",0
"sub-18",2,4,"false alarm",0
"sub-18",2,4,"miss",0
"sub-19",1,1,"false alarm",0
"sub-19",1,1,"miss",5
"sub-19",1,2,"false alarm",0
"sub-19",1,2,"miss",0
"sub-19",1,3,"false alarm",0
"sub-19",1,3,"miss",0
"sub-19",1,4,"false alarm",0
"sub-19",1,4,"miss",10
"sub-19",2,1,"false alarm",0
"sub-19",2,1,"miss",0
"sub-19",2,2,"false alarm",0
"sub-19",2,2,"miss",0
"sub-19",2,3,"false alarm",0
"sub-19",2,3,"miss",0
"sub-19",2,4,"false alarm",0
"sub-19",2,4,"miss",0
"sub-20",1,1,"false alarm",3.38983050847458
"sub-20",1,1,"miss",0
"sub-20",1,2,"false alarm",0
"sub-20",1,2,"miss",0
"sub-20",1,3,"false alarm",0
"sub-20",1,3,"miss",0
"sub-20",1,4,"false alarm",0
"sub-20",1,4,"miss",0
"sub-20",2,1,"false alarm",0
"sub-20",2,1,"miss",0
"sub-20",2,2,"false alarm",0
"sub-20",2,2,"miss",0
"sub-20",2,3,"false alarm",0
"sub-20",2,3,"miss",0
"sub-20",2,4,"false alarm",0
"sub-20",2,4,"miss",0
"sub-21",1,1,"false alarm",0
"sub-21",1,1,"miss",0
"sub-21",1,2,"false alarm",0
"sub-21",1,2,"miss",0
"sub-21",1,3,"false alarm",0
"sub-21",1,3,"miss",0
"sub-21",1,4,"false alarm",0
"sub-21",1,4,"miss",0
"sub-21",2,1,"false alarm",0
"sub-21",2,1,"miss",0
"sub-21",2,2,"false alarm",3.17460317460317
"sub-21",2,2,"miss",0
"sub-21",2,3,"false alarm",1.63934426229508
"sub-21",2,3,"miss",0
"sub-21",2,4,"false alarm",0
"sub-21",2,4,"miss",5.88235294117647
"sub-22",1,1,"false alarm",0
"sub-22",1,1,"miss",0
"sub-22",1,2,"false alarm",0
"sub-22",1,2,"miss",0
"sub-22",1,3,"false alarm",0
"sub-22",1,3,"miss",0
"sub-22",1,4,"false alarm",0
"sub-22",1,4,"miss",0
"sub-22",2,1,"false alarm",0
"sub-22",2,1,"miss",0
"sub-22",2,2,"false alarm",0
"sub-22",2,2,"miss",0
"sub-22",2,3,"false alarm",0
"sub-22",2,3,"miss",0
"sub-22",2,4,"false alarm",0
"sub-22",2,4,"miss",0
"sub-23",1,1,"false alarm",1.69491525423729
"sub-23",1,1,"miss",0
"sub-23",1,2,"false alarm",0
"sub-23",1,2,"miss",0
"sub-23",1,3,"false alarm",0
"sub-23",1,3,"miss",0
"sub-23",1,4,"false alarm",0
"sub-23",1,4,"miss",0
"sub-23",2,1,"false alarm",0
"sub-23",2,1,"miss",0
"sub-23",2,2,"false alarm",0
"sub-23",2,2,"miss",0
"sub-23",2,3,"false alarm",0
"sub-23",2,3,"miss",0
"sub-23",2,4,"false alarm",0
"sub-23",2,4,"miss",0
"sub-25",1,1,"false alarm",1.58730158730159
"sub-25",1,1,"miss",0
"sub-25",1,2,"false alarm",0
"sub-25",1,2,"miss",0
"sub-25",1,3,"false alarm",0
"sub-25",1,3,"miss",0
"sub-25",1,4,"false alarm",0
"sub-25",1,4,"miss",0
"sub-25",2,1,"false alarm",0
"sub-25",2,1,"miss",0
"sub-25",2,2,"false alarm",0
"sub-25",2,2,"miss",0
"sub-25",2,3,"false alarm",0
"sub-25",2,3,"miss",0
"sub-25",2,4,"false alarm",1.88679245283019
"sub-25",2,4,"miss",0
"sub-26",1,1,"false alarm",0
"sub-26",1,1,"miss",0
"sub-26",1,2,"false alarm",0
"sub-26",1,2,"miss",0
"sub-26",1,3,"false alarm",0
"sub-26",1,3,"miss",0
"sub-26",1,4,"false alarm",0
"sub-26",1,4,"miss",0
"sub-26",2,1,"false alarm",0
"sub-26",2,1,"miss",0
"sub-26",2,2,"false alarm",0
"sub-26",2,2,"miss",0
"sub-26",2,3,"false alarm",0
"sub-26",2,3,"miss",0
"sub-26",2,4,"false alarm",0
"sub-26",2,4,"miss",0
"sub-27",1,1,"false alarm",1.85185185185185
"sub-27",1,1,"miss",0
"sub-27",1,2,"false alarm",0
"sub-27",1,2,"miss",0
"sub-27",1,3,"false alarm",0
"sub-27",1,3,"miss",0
"sub-27",1,4,"false alarm",0
"sub-27",1,4,"miss",0
"sub-27",2,1,"false alarm",0
"sub-27",2,1,"miss",0
"sub-27",2,2,"false alarm",0
"sub-27",2,2,"miss",0
"sub-27",2,3,"false alarm",0
"sub-27",2,3,"miss",0
"sub-27",2,4,"false alarm",0
"sub-27",2,4,"miss",0
"sub-28",1,1,"false alarm",0
"sub-28",1,1,"miss",0
"sub-28",1,2,"false alarm",0
"sub-28",1,2,"miss",0
"sub-28",1,3,"false alarm",0
"sub-28",1,3,"miss",5
"sub-28",1,4,"false alarm",0
"sub-28",1,4,"miss",15.3846153846154
"sub-28",2,1,"false alarm",0
"sub-28",2,1,"miss",0
"sub-28",2,2,"false alarm",3.44827586206897
"sub-28",2,2,"miss",0
"sub-28",2,3,"false alarm",0
"sub-28",2,3,"miss",0
"sub-28",2,4,"false alarm",1.69491525423729
"sub-28",2,4,"miss",6.25
"sub-29",1,1,"false alarm",0
"sub-29",1,1,"miss",0
"sub-29",1,2,"false alarm",1.58730158730159
"sub-29",1,2,"miss",0
"sub-29",1,3,"false alarm",1.72413793103448
"sub-29",1,3,"miss",0
"sub-29",1,4,"false alarm",0
"sub-29",1,4,"miss",0
"sub-29",2,1,"false alarm",0
"sub-29",2,1,"miss",7.14285714285714
"sub-29",2,2,"false alarm",0
"sub-29",2,2,"miss",11.7647058823529
"sub-29",2,3,"false alarm",0
"sub-29",2,3,"miss",11.7647058823529
"sub-29",2,4,"false alarm",1.66666666666667
"sub-29",2,4,"miss",0
"sub-30",1,1,"false alarm",0
"sub-30",1,1,"miss",0
"sub-30",1,2,"false alarm",0
"sub-30",1,2,"miss",0
"sub-30",1,3,"false alarm",0
"sub-30",1,3,"miss",0
"sub-30",1,4,"false alarm",0
"sub-30",1,4,"miss",0
"sub-30",2,1,"false alarm",0
"sub-30",2,1,"miss",0
"sub-30",2,2,"false alarm",0
"sub-30",2,2,"miss",0
"sub-30",2,3,"false alarm",0
"sub-30",2,3,"miss",0
"sub-30",2,4,"false alarm",0
"sub-30",2,4,"miss",6.25
"sub-32",1,1,"false alarm",0
"sub-32",1,1,"miss",0
"sub-32",1,2,"false alarm",1.96078431372549
"sub-32",1,2,"miss",0
"sub-32",1,3,"false alarm",0
"sub-32",1,3,"miss",0
"sub-32",1,4,"false alarm",0
"sub-32",1,4,"miss",0
"sub-32",2,1,"false alarm",0
"sub-32",2,1,"miss",0
"sub-32",2,2,"false alarm",0
"sub-32",2,2,"miss",0
