"id","stim","seq_tr","mean_probability"
"sub-01","cat",1,0.146822400810709
"sub-01","cat",2,0.0748504107647369
"sub-01","cat",3,0.351493657009168
"sub-01","cat",4,0.668273508183117
"sub-01","cat",5,0.566748525739256
"sub-01","cat",6,0.263675543507837
"sub-01","cat",7,0.147939842239775
"sub-01","chair",1,0.0506229797843159
"sub-01","chair",2,0.0725147460468309
"sub-01","chair",3,0.361355540952809
"sub-01","chair",4,0.759311983979732
"sub-01","chair",5,0.503730330990291
"sub-01","chair",6,0.214064139854701
"sub-01","chair",7,0.0640883128715334
"sub-01","face",1,0.0202029826651116
"sub-01","face",2,0.0357986144060914
"sub-01","face",3,0.355364953938633
"sub-01","face",4,0.741293519425054
"sub-01","face",5,0.69471849541665
"sub-01","face",6,0.325868981579198
"sub-01","face",7,0.103849652205756
"sub-01","house",1,0.0512651868895979
"sub-01","house",2,0.0743290375184102
"sub-01","house",3,0.463270423644408
"sub-01","house",4,0.752335113385449
"sub-01","house",5,0.577400530609132
"sub-01","house",6,0.229018230365708
"sub-01","house",7,0.0865797573969417
"sub-01","shoe",1,0.0188123212005191
"sub-01","shoe",2,0.0681024359153895
"sub-01","shoe",3,0.490742214222385
"sub-01","shoe",4,0.709485190430704
"sub-01","shoe",5,0.48301391326327
"sub-01","shoe",6,0.197592958043842
"sub-01","shoe",7,0.0930927424109435
"sub-02","cat",1,0.143841210755349
"sub-02","cat",2,0.0903968452885754
"sub-02","cat",3,0.455604004820725
"sub-02","cat",4,0.622675487351199
"sub-02","cat",5,0.319664251073713
"sub-02","cat",6,0.113475933634283
"sub-02","cat",7,0.0607049491339491
"sub-02","chair",1,0.13230952740222
"sub-02","chair",2,0.171613719048864
"sub-02","chair",3,0.527955351441693
"sub-02","chair",4,0.498305957456721
"sub-02","chair",5,0.238980502902971
"sub-02","chair",6,0.113384753917311
"sub-02","chair",7,0.0853513858446974
"sub-02","face",1,0.0445293933542221
"sub-02","face",2,0.132231227197725
"sub-02","face",3,0.475876516509272
"sub-02","face",4,0.617576482914994
"sub-02","face",5,0.361268307124217
"sub-02","face",6,0.147589822904289
"sub-02","face",7,0.0522543815066912
"sub-02","house",1,0.0840697635619095
"sub-02","house",2,0.173680103000889
"sub-02","house",3,0.624617538378329
"sub-02","house",4,0.642982455743922
"sub-02","house",5,0.317923991055709
"sub-02","house",6,0.148109962762866
"sub-02","house",7,0.0609768186580749
"sub-02","shoe",1,0.0204337434319067
"sub-02","shoe",2,0.105421528130944
"sub-02","shoe",3,0.54196291071598
"sub-02","shoe",4,0.679080966494563
"sub-02","shoe",5,0.294033605334549
"sub-02","shoe",6,0.100322083498751
"sub-02","shoe",7,0.0415358925351149
"sub-03","cat",1,0.127346403341077
"sub-03","cat",2,0.0858571953859901
"sub-03","cat",3,0.277212132002752
"sub-03","cat",4,0.388911709351689
"sub-03","cat",5,0.332221049662478
"sub-03","cat",6,0.159115731000376
"sub-03","cat",7,0.0912866393170398
"sub-03","chair",1,0.107698228616061
"sub-03","chair",2,0.118373110420504
"sub-03","chair",3,0.26072745194207
"sub-03","chair",4,0.432269136661435
"sub-03","chair",5,0.352192799225248
"sub-03","chair",6,0.225502073731323
"sub-03","chair",7,0.0685281744106139
"sub-03","face",1,0.0547531319729565
"sub-03","face",2,0.080748228608361
"sub-03","face",3,0.243413781947298
"sub-03","face",4,0.535832669207578
"sub-03","face",5,0.53139806656047
"sub-03","face",6,0.232922704745589
"sub-03","face",7,0.0504102436314438
"sub-03","house",1,0.0371894868255986
"sub-03","house",2,0.074728410670196
"sub-03","house",3,0.303669049360877
"sub-03","house",4,0.67158917084193
"sub-03","house",5,0.551596907466928
"sub-03","house",6,0.220723628542255
"sub-03","house",7,0.0556199818855499
"sub-03","shoe",1,0.0815517686900928
"sub-03","shoe",2,0.121855774228422
"sub-03","shoe",3,0.290769505299115
"sub-03","shoe",4,0.451627131132627
"sub-03","shoe",5,0.434022816498654
"sub-03","shoe",6,0.274370436233052
"sub-03","shoe",7,0.160096737434078
"sub-04","cat",1,0.127440707699588
"sub-04","cat",2,0.0649292011461577
"sub-04","cat",3,0.21747646646768
"sub-04","cat",4,0.414781212629081
