"session","run_study","run_session","mean_accuracy","sem_upper","sem_lower"
1,1,1,99.75,99.9253680936031,99.5746319063969
1,2,2,99.3564306064306,99.7180033547416,98.9948578581197
1,3,3,99.5687134502924,99.8888164011587,99.2486104994261
1,4,4,99.017094017094,99.5818714282055,98.4523166059826
2,5,1,99.3894993894994,99.7319865786058,99.047012200393
2,6,2,99.6732026143791,100,99.3464052287582
2,7,3,99.5524296675192,99.8975779044672,99.2072814305712
2,8,4,99.2757038712921,99.624184585162,98.9272231574222
