"freq_bins_smooth","mean_spec","sem_upper","sem_lower"
0.00526685393258427,0.000239323341412204,0.151520486459681,-0.151041839776857
0.00596910112359551,0.0157952951646248,0.16330332372581,-0.131712733396561
0.00667134831460674,0.0348913888939088,0.173614301201999,-0.103831523414181
0.00737359550561798,0.0445974410699999,0.180535584650989,-0.0913407025109893
0.00807584269662921,0.0362340809629765,0.166405181835903,-0.0939370199099504
0.00877808988764045,0.01247325849159,0.136048397185726,-0.111101880202546
0.00948033707865168,0.0306181077588603,0.152314019824588,-0.0910778043068677
0.0101825842696629,-0.0054455937159843,0.119545456706611,-0.13043664413858
0.0108848314606742,0.0116031514854235,0.138389326991131,-0.115183024020284
0.0115870786516854,-0.00288725462067844,0.125826992278555,-0.131601501519912
0.0122893258426966,-0.000112838357635148,0.124148808356534,-0.124374485071804
0.0129915730337079,0.00140030828145795,0.127684571890468,-0.124883955327552
0.0136938202247191,-0.0118198077012923,0.111673111662368,-0.135312727064953
0.0143960674157303,0.0127147711669096,0.131379174162498,-0.105949631828679
0.0150983146067416,0.0481674514200567,0.166460864077729,-0.0701259612376159
0.0158005617977528,0.0421411171621012,0.163898308409677,-0.0796160740854748
0.016502808988764,0.0362016448054902,0.169843390137598,-0.0974401005266178
0.0172050561797753,0.0335154924608043,0.159835060978373,-0.0928040760567642
0.0179073033707865,0.0789199504902267,0.200293260533692,-0.0424533595532386
0.0186095505617977,0.0928359964498698,0.207662090815733,-0.021990097915993
0.019311797752809,0.116422988501002,0.238037935395275,-0.00519195839327038
0.0200140449438202,0.147127450760325,0.264291508771533,0.0299633927491176
0.0207162921348315,0.105070367105217,0.209440910135494,0.000699824074939848
0.0214185393258427,0.13314566910992,0.240335029095511,0.0259563091243289
0.0221207865168539,0.0956640491692694,0.196628100908828,-0.00530000257028933
0.0228230337078652,0.113280073161931,0.214708285994922,0.0118518603289392
0.0235252808988764,0.142869115522562,0.234604734413495,0.0511334966316294
0.0242275280898876,0.132894357520113,0.227110526124535,0.0386781889156908
0.0249297752808989,0.131800994378437,0.225769456679636,0.0378325320772385
0.0256320224719101,0.141079628157545,0.233180680539111,0.0489785757759794
0.0263342696629213,0.120574410867869,0.206685524308184,0.0344632974275538
0.0270365168539326,0.110840790074408,0.206831520784075,0.0148500593647416
0.0277387640449438,0.103023062875599,0.200855694104848,0.00519043164635077
0.0284410112359551,0.1302015659307,0.23237003030126,0.0280331015601399
0.0291432584269663,0.1434096493984,0.247865313319552,0.0389539854772473
0.0298455056179775,0.13123768748181,0.230247423843477,0.0322279511201434
0.0305477528089888,0.13734000586549,0.235101092886981,0.0395789188439982
0.03125,0.14878007935482,0.246297132790998,0.0512630259186431
0.0319522471910112,0.161690823870872,0.256602749835928,0.0667788979058163
0.0326544943820225,0.17013357552492,0.264908774849003,0.0753583762008378
0.0333567415730337,0.173660697656228,0.274857407345271,0.0724639879671837
0.0340589887640449,0.173887204793991,0.274594404029565,0.0731800055584175
0.0347612359550562,0.158080066876998,0.254435526831929,0.0617246069220665
0.0354634831460674,0.174556994117762,0.271671359874843,0.0774426283606807
0.0361657303370786,0.198323508421,0.298831913362502,0.0978151034794972
0.0368679775280899,0.196239119078977,0.28476046804914,0.107717770108813
0.0375702247191011,0.171487140202791,0.25788002453088,0.0850942558747027
0.0382724719101124,0.191850945838017,0.276570489021245,0.107131402654789
0.0389747191011236,0.180773598182086,0.260155755466613,0.10139144089756
0.0396769662921348,0.177968549350992,0.254276206418551,0.101660892283433
0.0403792134831461,0.182640242446628,0.261779927915032,0.103500556978223
0.0410814606741573,0.169476641336918,0.251920650613572,0.0870326320602643
0.0417837078651685,0.150299298427208,0.239181721090077,0.0614168757643393
0.0424859550561798,0.125072489113419,0.211185383702544,0.0389595945242946
0.043188202247191,0.107478450732167,0.196082067210029,0.0188748342543048
0.0438904494382023,0.111318636481515,0.19809121093542,0.0245460620276104
0.0445926966292135,0.123049357036012,0.209440143909827,0.036658570162197
0.0452949438202247,0.154682080703707,0.239455448050692,0.0699087133567217
0.0459971910112359,0.137575683416288,0.225937481467901,0.0492138853646749
0.0466994382022472,0.137130707207921,0.224306663490502,0.0499547509253406
0.0474016853932584,0.152576084914065,0.240949541435309,0.0642026283928213
0.0481039325842697,0.170506401631132,0.253985424829874,0.0870273784323897
0.0488061797752809,0.156401476897972,0.23953809342173,0.0732648603742135
0.0495084269662921,0.178538001357973,0.2584901665836,0.0985858361323454
0.0502106741573034,0.162391057241852,0.240416377645976,0.0843657368377278
