"id","tITI","mean_abs_slope","abs_mean_slope","mean_sd_prob"
"sub-05","32 ms",0.0442439982570668,0.00668924829900726,0.167607216056707
"sub-05","2048 ms",0.0597664816820138,0.00206046063559365,0.208302383338956
"sub-05","Rest Post S1",0.0523274912340682,0.0127368387763677,0.173420853825645
"sub-05","Rest Pre S1",0.0522906201285044,0.0212497463111002,0.186398967629919
"sub-06","32 ms",0.0461594869638873,0.00364689442268401,0.188770823957904
"sub-06","2048 ms",0.048110922661839,0.00266966703769629,0.170672396840141
"sub-06","Rest Post S1",0.0642263419055459,0.00291065938298673,0.227292443855945
"sub-06","Rest Pre S1",0.0756559551418568,0.0105834628853793,0.281636823788581
"sub-07","32 ms",0.0525018813997997,0.00379091852731579,0.190133321819897
"sub-07","2048 ms",0.0562503136510906,0.00236796469486732,0.192577555609747
"sub-07","Rest Post S1",0.0523736629685678,0.0116950383467599,0.253853418753807
"sub-07","Rest Pre S1",0.054664725182416,0.00985168780170221,0.222986522922341
"sub-08","32 ms",0.0654230409396399,0.0113640188275069,0.211927819779493
"sub-08","2048 ms",0.0649455578064486,0.0173398660781178,0.240036245141256
"sub-08","Rest Post S1",0.0656381066706398,0.00503580100865755,0.254180185693624
"sub-08","Rest Pre S1",0.066432700930272,0.00652169347002339,0.239069967982838
"sub-09","32 ms",0.0538583189282257,0.00576063910508728,0.206057557744031
"sub-09","2048 ms",0.0599765993533167,0.00260728660406871,0.212103846798696
"sub-09","Rest Post S1",0.0692155930000053,0.00521608976841492,0.228187624964711
"sub-09","Rest Pre S1",0.066155740498824,0.00454656864277847,0.228508131730409
"sub-10","32 ms",0.047825357286171,0.000843368740769832,0.173742440419912
"sub-10","2048 ms",0.0683272650552319,0.00141413204418061,0.255029958746257
"sub-10","Rest Post S1",0.0524250614490184,0.00333158117351442,0.196278321363013
"sub-10","Rest Pre S1",0.0597828834346295,0.00520153727657161,0.238758843770113
"sub-11","32 ms",0.0641210910559954,0.00962075636925671,0.263271176517173
"sub-11","2048 ms",0.0800316393258728,0.00190434180463652,0.278885506743594
"sub-11","Rest Post S1",0.0740400409618465,0.00266810065776211,0.276503637017181
"sub-11","Rest Pre S1",0.0789280661400883,0.00180917237246435,0.309304307231216
"sub-12","32 ms",0.0712037195825659,0.00306995856849154,0.253909347586516
"sub-12","2048 ms",0.0704347724625444,0.0135634493892964,0.272635637951512
"sub-12","Rest Post S1",0.0702663471474134,0.0196259326718292,0.25706197406551
"sub-12","Rest Pre S1",0.0711669821831135,0.00902128819513356,0.28146865731303
"sub-13","32 ms",0.054699653084692,0.0141245232767532,0.202481299737209
"sub-13","2048 ms",0.0654028972226971,0.00471110827748845,0.227876777268859
"sub-13","Rest Post S1",0.0524518052920412,0.0111752436540634,0.179956335515715
"sub-13","Rest Pre S1",0.0475592976666791,0.0105811354918622,0.178970178060954
"sub-14","32 ms",0.0727136931160872,0.00356568349598825,0.228887342958511
"sub-14","2048 ms",0.0762749131268348,0.0184315903227695,0.258206586291562
"sub-14","Rest Post S1",0.0689448662833037,0.0197628939462154,0.270705620922196
"sub-14","Rest Pre S1",0.0703923300025114,0.0204574170853931,0.250869843646387
"sub-15","32 ms",0.0481018344398338,0.00272065987959959,0.163722401738269
"sub-15","2048 ms",0.0544462259749725,0.00560081910985667,0.197434568806067
"sub-15","Rest Post S1",0.0506301945615483,0.00537498716086191,0.174964617692169
"sub-15","Rest Pre S1",0.0548300800033946,0.00559739013284781,0.19606419171122
"sub-16","32 ms",0.0568768174351797,0.011293739875447,0.206139163223819
"sub-16","2048 ms",0.0588914983708363,0.0113990473185306,0.199403586626945
"sub-16","Rest Post S1",0.0650193712316505,0.00587595186456905,0.266723049440079
"sub-16","Rest Pre S1",0.0738687954296698,0.00630765068851622,0.285683146275883
"sub-17","32 ms",0.0498451470746692,0.000164949143593367,0.182501852571512
"sub-17","2048 ms",0.0578752010135904,0.00267865222281852,0.191413706742717
"sub-17","Rest Post S1",0.0426057331606377,0.00622022705040834,0.178301962090903
"sub-17","Rest Pre S1",0.0459783252813058,0.00584864247669029,0.174634477149972
"sub-18","32 ms",0.0579664973435522,0.00630776869097079,0.210420194593244
"sub-18","2048 ms",0.0717921994470173,0.016895125595211,0.219849286222984
"sub-18","Rest Post S1",0.034616955721362,0.00871455357583577,0.1384935419584
"sub-18","Rest Pre S1",0.064244814583323,0.0137908419121181,0.210296959457583
"sub-19","32 ms",0.055166967349663,0.0107308140949455,0.200909766272986
"sub-19","2048 ms",0.0671804354545224,0.00414820992309163,0.22395221289904
"sub-19","Rest Post S1",0.0594676675236178,0.00434695416409813,0.250048660457051
"sub-19","Rest Pre S1",0.0689533687931184,0.00239927981517315,0.277736513031158
"sub-20","32 ms",0.0520889654263076,0.00578608961391887,0.181903646586187
"sub-20","2048 ms",0.0591768085420062,0.00322654801501615,0.235958503116515
"sub-20","Rest Post S1",0.0499705641141088,0.00901042613560489,0.184644053825555
"sub-20","Rest Pre S1",0.0658725590831269,0.0128740710163657,0.227788713014444
"sub-21","32 ms",0.0610618599183494,0.0149893825282174,0.225428453723238
"sub-21","2048 ms",0.0714226131004054,0.00292174267389889,0.233344979387939
"sub-21","Rest Post S1",0.0671230199103026,0.0107781381547654,0.273061640976396
"sub-21","Rest Pre S1",0.0659918274775277,0.00605958525750391,0.249119153931041
"sub-22","32 ms",0.0501194934395698,0.0118237825910608,0.182171316475276
"sub-22","2048 ms",0.0555785115738211,0.0105159807182893,0.240636428112526
"sub-22","Rest Post S1",0.051028302368472,0.00300223301951345,0.187548996865636
"sub-22","Rest Pre S1",0.0517998424695137,0.000803514295831393,0.184777308584197
"sub-23","32 ms",0.0575013204549371,0.0196716715820205,0.186569857234408
"sub-23","2048 ms",0.0725027467233724,0.0103392782974403,0.233764186173082
"sub-23","Rest Post S1",0.0482198053736344,0.000728838983705617,0.187460690811223
"sub-23","Rest Pre S1",0.0431446109284699,0.0035412955318544,0.167875557309933
"sub-25","32 ms",0.0466521162998308,0.00778696314049162,0.196448958301318
"sub-25","2048 ms",0.0734546681341437,0.00209745224984486,0.227199890598229
"sub-25","Rest Post S1",0.06248129633374,0.0113485212296459,0.206086612879617
"sub-25","Rest Pre S1",0.0581545521604051,0.00462599043506014,0.204784326840252
"sub-26","32 ms",0.0437446169886933,0.00301406347676584,0.155702762359428
"sub-26","2048 ms",0.0583931784031696,0.00957203443586601,0.177784563263047
"sub-26","Rest Post S1",0.06137056983551,0.0060542543661793,0.235571242924725
"sub-26","Rest Pre S1",0.0666221131910902,0.0228858452101925,0.229349013492505
"sub-27","32 ms",0.0400432986058193,0.00235314799086795,0.168924752447471
"sub-27","2048 ms",0.0589020725947942,0.00672577764298913,0.188747749752813
"sub-27","Rest Post S1",0.0439170492943496,0.00188543145783175,0.199331834899101
"sub-27","Rest Pre S1",0.030558941851137,0.00138784708698267,0.142843495282452
"sub-28","32 ms",0.0587709969107212,0.0021204042166272,0.210269267397863
"sub-28","2048 ms",0.0698000334905595,0.00417671115462978,0.258364286068614
"sub-28","Rest Post S1",0.0910436193518062,0.0113457140775723,0.297835876583121
"sub-28","Rest Pre S1",0.0791785118334608,0.00189782891110488,0.289020071660419
"sub-29","32 ms",0.0626517978028113,0.00117166600827152,0.236091366924311
"sub-29","2048 ms",0.0645884209658427,0.00462002424516434,0.2162023358514
"sub-29","Rest Post S1",0.0875450187100817,0.00362825685754275,0.29522409463339
"sub-29","Rest Pre S1",0.0858440525054043,0.0170600956578085,0.320845870392824
"sub-30","32 ms",0.0578868007021319,0.00608833318292817,0.22816577540383
"sub-30","2048 ms",0.0638957449654973,0.00969039522038675,0.230205520734858
"sub-30","Rest Post S1",0.0573072805237195,0.0091419669066718,0.231315967542087
"sub-30","Rest Pre S1",0.0638365480035398,0.00408697203701602,0.258214254425334
"sub-32","32 ms",0.0663511775055962,0.00180861773587461,0.245071064081439
"sub-32","2048 ms",0.0705629937861125,0.0035099057017318,0.224475441049472
"sub-32","Rest Post S1",0.0589795821206162,0.00409251461127399,0.203412893416447
"sub-32","Rest Pre S1",0.0684836740578778,0.000511473622342807,0.238022224586048
"sub-33","32 ms",0.052142095759614,0.00262589378442393,0.221878434398081
"sub-33","2048 ms",0.0709823598420443,0.00912073126062273,0.220555741831696
"sub-33","Rest Post S1",0.0499210255128611,0.000945478669196448,0.202490146245243
"sub-33","Rest Pre S1",0.0645038738440904,0.00442062812415494,0.22469966721876
"sub-34","32 ms",0.0712762380470336,0.00338520153335978,0.236693368565583
"sub-34","2048 ms",0.0616124044880776,0.00490559121265661,0.230278712737956
"sub-34","Rest Post S1",0.0560953481933098,0.00340645831479622,0.245147662000834
"sub-34","Rest Pre S1",0.0718812166609159,0.00109936626052393,0.274080221361572
"sub-35","32 ms",0.0501625866055617,0.00596329014122065,0.186070487548136
"sub-35","2048 ms",0.0588062874112983,0.00220314380373711,0.218150130594583
"sub-35","Rest Post S1",0.0643896750681919,0.000982988053604267,0.226731184195597
"sub-35","Rest Pre S1",0.0567909346192872,0.00358110991422814,0.215849936970164
"sub-36","32 ms",0.0599145363742091,0.0022393850457558,0.197175715280562
"sub-36","2048 ms",0.0412433770937662,0.00587464378680332,0.167669768508597
"sub-36","Rest Post S1",0.0721429887860072,0.0287949510373444,0.238196682613488
"sub-36","Rest Pre S1",0.0756471925266666,0.0142319099569956,0.240065358399121
"sub-38","32 ms",0.0604425972343788,0.00524283877746688,0.206034099863055
"sub-38","2048 ms",0.0616642394265677,0.00707490838393876,0.21595307101834
"sub-38","Rest Post S1",0.057242406424202,0.00237459133165581,0.213226878054249
"sub-38","Rest Pre S1",0.0514178377875611,0.00633886431712552,0.231708751722868
"sub-39","32 ms",0.0460371673053111,0.00546244107911731,0.175198698203583
"sub-39","2048 ms",0.0624783723228499,0.00398776422583342,0.22111210583997
