"tITI","freq_bins_smooth","mean_spec","sem_upper","sem_lower"
"Rest Post S1",0.00526685393258427,2.84363062880273,2.94588060547651,2.74138065212895
"Rest Post S1",0.00596910112359551,2.79325505469333,2.88762520046943,2.69888490891723
"Rest Post S1",0.00667134831460674,2.74463654950189,2.83632652094519,2.65294657805859
"Rest Post S1",0.00737359550561798,2.74075328656872,2.83041021684113,2.65109635629632
"Rest Post S1",0.00807584269662921,2.73375098281681,2.82433155016909,2.64317041546453
"Rest Post S1",0.00877808988764045,2.72303796854517,2.81301621525209,2.63305972183825
"Rest Post S1",0.00948033707865168,2.76182757878612,2.85552779078397,2.66812736678828
"Rest Post S1",0.0101825842696629,2.75456791819344,2.8508698105159,2.65826602587098
"Rest Post S1",0.0108848314606742,2.78220769082968,2.88153267352495,2.68288270813441
"Rest Post S1",0.0115870786516854,2.77532869175855,2.87596876016602,2.67468862335107
"Rest Post S1",0.0122893258426966,2.77187329913985,2.8693974699296,2.67434912835009
"Rest Post S1",0.0129915730337079,2.74392868680213,2.84138950398407,2.64646786962019
"Rest Post S1",0.0136938202247191,2.72516373292096,2.81902911172299,2.63129835411893
"Rest Post S1",0.0143960674157303,2.70298688976766,2.79249922971779,2.61347454981753
"Rest Post S1",0.0150983146067416,2.75659027799491,2.84774967779578,2.66543087819404
"Rest Post S1",0.0158005617977528,2.69674763613348,2.78346095350001,2.61003431876696
"Rest Post S1",0.016502808988764,2.69330586708257,2.7819158669343,2.60469586723085
"Rest Post S1",0.0172050561797753,2.66431993216778,2.74768025273965,2.5809596115959
"Rest Post S1",0.0179073033707865,2.66143387289954,2.7484273047839,2.57444044101519
"Rest Post S1",0.0186095505617977,2.68640084558839,2.77391509714935,2.59888659402742
"Rest Post S1",0.019311797752809,2.72309892184932,2.81356635669321,2.63263148700544
"Rest Post S1",0.0200140449438202,2.70910736929264,2.79838438587557,2.61983035270972
"Rest Post S1",0.0207162921348315,2.68482447757956,2.77006885282257,2.59958010233655
"Rest Post S1",0.0214185393258427,2.69131377318685,2.78173117085492,2.60089637551877
"Rest Post S1",0.0221207865168539,2.65883390235552,2.75222173778431,2.56544606692672
"Rest Post S1",0.0228230337078652,2.64600988889262,2.7380067411782,2.55401303660704
"Rest Post S1",0.0235252808988764,2.65444171619612,2.7382344866759,2.57064894571633
"Rest Post S1",0.0242275280898876,2.632933448952,2.71164191646452,2.55422498143948
"Rest Post S1",0.0249297752808989,2.62509531257267,2.70511296784793,2.54507765729741
"Rest Post S1",0.0256320224719101,2.61713645568466,2.69902692017374,2.53524599119558
"Rest Post S1",0.0263342696629213,2.61190744056693,2.69089281878257,2.53292206235129
"Rest Post S1",0.0270365168539326,2.6085045066131,2.68857612789465,2.52843288533155
"Rest Post S1",0.0277387640449438,2.59620015675532,2.6760072522899,2.51639306122075
"Rest Post S1",0.0284410112359551,2.57771522216955,2.65676903926569,2.49866140507341
"Rest Post S1",0.0291432584269663,2.55466042815746,2.62993055965527,2.47939029665966
"Rest Post S1",0.0298455056179775,2.58127221640826,2.65753460755399,2.50500982526253
"Rest Post S1",0.0305477528089888,2.58495749372172,2.66263298779745,2.50728199964598
"Rest Post S1",0.03125,2.56775988788394,2.64433210077217,2.49118767499572
"Rest Post S1",0.0319522471910112,2.54044399467268,2.61643482272509,2.46445316662027
"Rest Post S1",0.0326544943820225,2.54113683809867,2.62318576473346,2.45908791146388
"Rest Post S1",0.0333567415730337,2.545876396266,2.63487494760154,2.45687784493047
"Rest Post S1",0.0340589887640449,2.52047456998843,2.60941811944934,2.43153102052751
"Rest Post S1",0.0347612359550562,2.51992763690261,2.60622888307057,2.43362639073466
"Rest Post S1",0.0354634831460674,2.53809044222405,2.62729448011271,2.44888640433538
"Rest Post S1",0.0361657303370786,2.53363249949574,2.6262751970219,2.44098980196959
"Rest Post S1",0.0368679775280899,2.51958576747028,2.60614827034216,2.43302326459841
"Rest Post S1",0.0375702247191011,2.48739421706407,2.56932382534452,2.40546460878361
"Rest Post S1",0.0382724719101124,2.48571096874613,2.56534935637912,2.40607258111314
"Rest Post S1",0.0389747191011236,2.45053889616487,2.52551672418783,2.37556106814191
"Rest Post S1",0.0396769662921348,2.42146736932462,2.49663063098556,2.34630410766369
"Rest Post S1",0.0403792134831461,2.394723142225,2.46482497207233,2.32462131237767
"Rest Post S1",0.0410814606741573,2.39643545327714,2.46539491966706,2.32747598688722
"Rest Post S1",0.0417837078651685,2.40139175358057,2.47378157993861,2.32900192722252
"Rest Post S1",0.0424859550561798,2.37723033703399,2.4497058006285,2.30475487343947
"Rest Post S1",0.043188202247191,2.34543151112535,2.42159785681882,2.26926516543189
"Rest Post S1",0.0438904494382023,2.34296021724917,2.41938504398574,2.2665353905126
"Rest Post S1",0.0445926966292135,2.32524509293467,2.40461984141045,2.2458703444589
"Rest Post S1",0.0452949438202247,2.3416668908947,2.42084559845673,2.26248818333266
"Rest Post S1",0.0459971910112359,2.3172374950101,2.39954562508519,2.23492936493501
"Rest Post S1",0.0466994382022472,2.30626078188083,2.38928941389647,2.22323214986518
"Rest Post S1",0.0474016853932584,2.30907021932049,2.38963188652937,2.22850855211162
"Rest Post S1",0.0481039325842697,2.30841883790367,2.38619263325719,2.23064504255014
"Rest Post S1",0.0488061797752809,2.29994220190966,2.37820744073533,2.221676963084
"Rest Post S1",0.0495084269662921,2.30473814114988,2.38195160705459,2.22752467524516
"Rest Post S1",0.0502106741573034,2.2750108258754,2.35376269237263,2.19625895937816
"Rest Post S1",0.0509129213483146,2.26526305432561,2.34176402276795,2.18876208588327
"Rest Post S1",0.0516151685393258,2.25526720895142,2.32809009834078,2.18244431956207
"Rest Post S1",0.0523174157303371,2.24458738032501,2.31772010670792,2.17145465394211
"Rest Post S1",0.0530196629213483,2.23200967066683,2.3050839169841,2.15893542434957
"Rest Post S1",0.0537219101123595,2.20030953191318,2.27547704144299,2.12514202238338
"Rest Post S1",0.0544241573033708,2.15780568440972,2.2297859902375,2.08582537858193
"Rest Post S1",0.055126404494382,2.15534699595796,2.22640261516023,2.08429137675569
"Rest Post S1",0.0558286516853933,2.15371984309755,2.22314370148953,2.08429598470557
"Rest Post S1",0.0565308988764045,2.12584135438154,2.19294231612488,2.05874039263819
"Rest Post S1",0.0572331460674157,2.12703170945691,2.19658263424086,2.05748078467297
"Rest Post S1",0.057935393258427,2.07146167747094,2.14187085566651,2.00105249927538
"Rest Post S1",0.0586376404494382,2.05301115952612,2.12480669432501,1.98121562472724
"Rest Post S1",0.0593398876404494,2.04482280152168,2.11443010220531,1.97521550083805
"Rest Post S1",0.0600421348314607,2.05602213887305,2.12770978714567,1.98433449060043
"Rest Post S1",0.0607443820224719,2.04679752190928,2.11522452863516,1.97837051518339
"Rest Post S1",0.0614466292134832,2.03475999298858,2.10288523730589,1.96663474867126
"Rest Post S1",0.0621488764044944,2.03417779477684,2.10224925075568,1.96610633879801
"Rest Post S1",0.0628511235955056,2.02955220799235,2.08924864737169,1.969855768613
"Rest Post S1",0.0635533707865168,2.02399104025608,2.08601538002393,1.96196670048824
"Rest Post S1",0.0642556179775281,2.03324316566269,2.10047812071614,1.96600821060925
"Rest Post S1",0.0649578651685393,1.99894181442203,2.06461818252964,1.93326544631442
"Rest Post S1",0.0656601123595505,1.98350659914175,2.04545231074195,1.92156088754155
"Rest Post S1",0.0663623595505618,1.99411182845673,2.06121652130747,1.92700713560598
"Rest Post S1",0.067064606741573,1.96621955463677,2.03477094366184,1.8976681656117
"Rest Post S1",0.0677668539325843,1.9532286878918,2.01718954180219,1.88926783398141
"Rest Post S1",0.0684691011235955,1.94278385307606,2.0046931827741,1.88087452337801
"Rest Post S1",0.0691713483146067,1.92195055632206,1.98439661636672,1.8595044962774
"Rest Post S1",0.069873595505618,1.90624697294439,1.96430635431544,1.84818759157334
"Rest Post S1",0.0705758426966292,1.88449513649423,1.94407888600459,1.82491138698387
"Rest Post S1",0.0712780898876405,1.87147268997552,1.93040049072219,1.81254488922884
"Rest Post S1",0.0719803370786517,1.86521096765192,1.92441881659459,1.80600311870924
"Rest Post S1",0.0726825842696629,1.81995130991094,1.87563190027493,1.76427071954696
"Rest Post S1",0.0733848314606741,1.81028293752357,1.86700002469767,1.75356585034947
"Rest Post S1",0.0740870786516854,1.80602145609506,1.85897354150811,1.753069370682
"Rest Post S1",0.0747893258426966,1.80276381408973,1.85733989540411,1.74818773277534
"Rest Post S1",0.0754915730337078,1.78136172237108,1.83654761644964,1.72617582829253
"Rest Post S1",0.0761938202247191,1.76650978313965,1.81623609686744,1.71678346941185
"Rest Post S1",0.0768960674157303,1.75518548409932,1.80187167964216,1.70849928855648
"Rest Post S1",0.0775983146067416,1.75951699916359,1.80658966509183,1.71244433323535
